iter	Passed	Remaining
570	272676	61602
571	273114	61116
572	273562	60632
573	274008	60148
574	274455	59664
575	274905	59181
576	275354	58697
577	275790	58211
578	276236	57728
579	276687	57245
580	277124	56760
581	277565	56276
582	278016	55794
583	278491	55316
584	278948	54835
585	279393	54352
586	279849	53872
587	280313	53393
588	280758	52910
589	281211	52429
590	281659	51947
591	282106	51465
592	282550	50982
593	283008	50503
594	283452	50020
595	283902	49540
596	284351	49059
597	284796	48577
598	285228	48093
599	285670	47611
600	286115	47130
601	286559	46649
602	287009	46169
603	287447	45687
604	287888	45205
605	288339	44725
606	288776	44244
607	289237	43766
608	289680	43285
609	290145	42808
610	290594	42328
611	291060	41851
612	291521	41374
613	292092	40911
614	292576	40437
615	293023	39957
616	293489	39480
617	293944	39002
618	294384	38521
619	294829	38042
620	295280	37563
621	295731	37085
622	296184	36607
623	296644	36129
624	297085	35650
625	297540	35172
626	297989	34694
627	298445	34216
628	298897	33738
629	299341	33260
630	299792	32782
631	300245	32304
632	300709	31828
633	301157	31350
634	301605	30873
635	302053	30395
636	302501	29917
637	302965	29441
638	303420	28964
639	303866	28487
640	304300	28008
641	304745	27531
642	305189	27054
643	305626	26576
644	306078	26099
645	306528	25623
646	306984	25147
647	307431	24670
648	307889	24194
649	308336	23718
650	308781	23241
651	309232	22765
652	309684	22289
653	310140	21814
654	310576	21337
655	311025	20861
656	311472	20385
657	311922	19909
658	312376	19434
659	312820	18958
660	313275	18483
661	313717	18007
662	314146	17531
663	314587	17055
664	315033	16580
665	315477	16105
666	315920	15630
667	316375	15155
668	316835	14681
669	317293	14207
670	317743	13732
671	318183	13257
672	318634	12783
673	319081	12308
674	319531	11834
675	319980	11360
676	320438	10886
677	320872	10411
678	321317	9937
679	321808	9464
680	322319	8992
681	322836	8520
682	323324	8047
683	323826	7574
684	324331	7102
685	324829	6629
686	325331	6156
687	325862	5683
688	326367	5210
689	326888	4737
690	327373	4263
691	327879	3790
692	328387	3317
693	328884	2843
694	329368	2369
695	329879	1895
696	330431	1422
697	330976	948
698	331514	474
699	332020	0
