iter	Logloss	AUC
233	0.5870941739	0.7476909774
234	0.5870683041	0.7477299524
235	0.5870238609	0.7477921074
236	0.5869116606	0.7479254042
237	0.5868586646	0.7479846342
238	0.5867514313	0.7480870327
239	0.5867110988	0.7481350898
240	0.5865460515	0.74819947
241	0.5865142911	0.7482364403
242	0.5864747422	0.7482912027
243	0.5864160988	0.7483756512
244	0.5863014419	0.7484924014
245	0.5862628262	0.748542261
246	0.5861675178	0.7486392296
247	0.58612353	0.7486962239
248	0.5859549877	0.7488010852
249	0.5859214955	0.7488296688
250	0.5858811006	0.7488451917
251	0.5857074541	0.748984936
252	0.5856426435	0.7490405135
253	0.5855856909	0.7490672345
254	0.5855334235	0.7491403167
255	0.5854936702	0.749190624
256	0.5854681548	0.7492265223
257	0.5854402281	0.7492682289
258	0.585388337	0.7493430217
259	0.5852810629	0.7494533742
260	0.5852431779	0.7494892751
261	0.5851713937	0.7495919028
262	0.58505307	0.7496948967
263	0.5849601445	0.7498248771
264	0.5849376486	0.7498487295
265	0.5848639235	0.749919323
266	0.5848385394	0.7499521802
267	0.5847516615	0.7500423576
268	0.5846489927	0.7501311966
269	0.5845993613	0.750203134
270	0.5845522108	0.7502584745
271	0.5845019018	0.7503328823
272	0.5844726959	0.7503751517
273	0.5843937558	0.7504720536
274	0.5842489843	0.7505594021
275	0.5842168652	0.7506094504
276	0.5841825849	0.7506519362
277	0.5841530088	0.7506909088
278	0.5840990202	0.7507695763
279	0.5839812844	0.7508653221
280	0.5839274353	0.750928207
281	0.583891506	0.7509775555
282	0.5837584929	0.7510269754
283	0.5837054975	0.7510987124
284	0.5836355398	0.7511714689
285	0.5835563676	0.7512509115
286	0.5834585438	0.751311372
287	0.5833802121	0.7513666753
288	0.5833492248	0.7513816067
289	0.5833088333	0.7514094808
290	0.5832798527	0.7514407171
291	0.5832629059	0.7514567122
292	0.5832407034	0.7514875906
293	0.5831938288	0.751520149
294	0.5831796338	0.7515384938
295	0.5831416621	0.7515712778
296	0.5830362656	0.751636771
297	0.582992706	0.7516596188
298	0.5829502707	0.7517263485
299	0.5829262766	0.7517541843
300	0.5828192128	0.7518588208
301	0.5827889078	0.751882951
302	0.5827598761	0.7519167921
303	0.5827344954	0.751949259
304	0.5826743927	0.7520280327
305	0.5826444458	0.7520709393
306	0.5825900019	0.7521622618
307	0.582570674	0.7521972057
308	0.5825168187	0.7522899623
309	0.5824331931	0.752393805
310	0.5823992661	0.7524306062
311	0.5823346234	0.7525180021
312	0.5822175212	0.7525610396
313	0.5821795818	0.7525865894
314	0.582073401	0.7526765444
315	0.5820201626	0.7527129035
316	0.5819925309	0.7527499931
317	0.5819641117	0.7527817696
318	0.5819334772	0.7528126881
319	0.5819045285	0.7528490736
320	0.5818792283	0.7528831013
321	0.5818431368	0.7529201776
322	0.5818018947	0.7529702397
323	0.5817215265	0.7530528107
324	0.5816454787	0.7531594114
325	0.58156437	0.7532012463
326	0.5815373415	0.7532242434
327	0.5814702387	0.753292902
328	0.5814038125	0.7533830479
329	0.5812860681	0.7535389067
330	0.5812666303	0.7535645443
331	0.581240645	0.7535943316
332	0.5812176617	0.753603311
333	0.5811957555	0.7536267224
334	0.5811524008	0.753677526
335	0.5811203886	0.7537131257
336	0.5810936836	0.7537448216
337	0.5810404854	0.7538186697
338	0.5809822134	0.7538729651
339	0.5809476523	0.7539224084
340	0.5808986769	0.7539898969
341	0.5808571169	0.7540460563
342	0.580822491	0.7540803386
343	0.5807965233	0.7540913642
344	0.5806963235	0.7541954008
345	0.5805805825	0.7542715128
346	0.5805631394	0.7542999824
347	0.580474593	0.7543659645
348	0.5804328792	0.7544267082
349	0.5804065493	0.7544643759
350	0.5803661081	0.7545090968
351	0.5802862359	0.7545894451
352	0.5802609666	0.7546263861
353	0.5802351128	0.7546581255
354	0.5802039293	0.7546987151
355	0.580173695	0.7547447536
356	0.580148918	0.7547816977
357	0.5801046994	0.7548323717
358	0.580073601	0.7548767387
359	0.5800514497	0.7549112825
360	0.5800244551	0.7549418661
361	0.5799907202	0.75499314
362	0.5799543432	0.7550533348
363	0.5798926158	0.7551228639
364	0.5798622661	0.7551405721
365	0.5798317712	0.7551834853
366	0.5797656505	0.7552408395
367	0.5797312623	0.7552883903
368	0.5797034204	0.7553262057
369	0.579667249	0.7553599787
370	0.5796430649	0.7553926961
371	0.5795531935	0.7554661911
372	0.5795414858	0.7554859837
373	0.5795047227	0.7555199664
374	0.5794737794	0.7555504727
375	0.5793826169	0.7556076235
376	0.579323968	0.7556692866
377	0.5792941458	0.7557099723
378	0.5792537531	0.7557664531
379	0.5792310651	0.7557838849
380	0.5792029177	0.7558107543
381	0.5791191274	0.7558459396
382	0.5790950346	0.7558699965
383	0.5790398241	0.7559180246
384	0.5790212634	0.7559447889
385	0.5789917289	0.7559839398
386	0.5789584622	0.7560059003
387	0.5789353075	0.7560293765
388	0.5789114479	0.7560594388
389	0.5788793363	0.7560873959
390	0.5788397702	0.7561252712
391	0.5787594927	0.7561856243
392	0.5787464834	0.7562059763
393	0.5787242224	0.7562341248
394	0.5787154645	0.7562431582
395	0.5786805334	0.7562972821
396	0.5786550044	0.7563267161
397	0.5786203737	0.7563758682
398	0.5785908215	0.7564019651
399	0.57857384	0.7564266187
400	0.5785490314	0.7564691115
401	0.5785299172	0.7565017937
402	0.5785066978	0.7565377868
403	0.5784477939	0.7565815438
404	0.5783676446	0.7566415415
405	0.5783447495	0.7566750195
406	0.578291385	0.756735418
407	0.5782602419	0.7567820378
408	0.5782137243	0.7568322663
409	0.5781328444	0.7569158018
410	0.5781099422	0.7569495853
411	0.5780142216	0.7569931552
412	0.5779823603	0.7570387299
413	0.5779541765	0.7570806205
414	0.577921639	0.7571089969
415	0.5778918044	0.7571563608
416	0.5778616325	0.7571950267
417	0.5778395912	0.7572255342
418	0.5778126685	0.757249238
419	0.5777370603	0.7572935082
420	0.5777116467	0.7573238194
421	0.5776013266	0.7574507041
422	0.5775708843	0.7574731441
423	0.577490158	0.7575458567
